#{"t_start": 1750848148.7122128, "env_id": "None"}
r,l,t
54.905746,15,71.163582
53.274307,13,71.174522
122.7293,32,71.200958
143.309527,33,71.227142
135.84497,36,71.255581
30.92107,9,71.263514
630.376144,165,71.394592
404.690382,91,71.469514
36.420205,12,71.479856
91.309052,22,71.498009
376.80744,95,71.577417
169.226798,41,71.612162
61.181521,16,71.626151
307.905516,70,71.688753
575.527382,154,72.495981
251.697207,77,72.561662
90.593052,24,72.58198
129.964403,35,72.610525
166.842355,40,72.644628
189.15976,47,72.68491
268.750019,58,72.751366
198.498718,47,72.791874
47.231974,19,72.804874
430.988925,120,72.89012
98.206466,28,72.910901
246.632642,65,72.958789
79.860516,16,72.971435
92.850397,22,72.988916
215.822594,49,73.050461
123.816287,33,73.080313
94.757283,20,73.09934
-581.220938,1000,73.932904
54.374936,15,73.945258
-586.985219,1000,75.85952
238.135035,56,75.901731
-749.140182,1000,76.702638
198.684964,49,76.740938
342.400275,86,76.812917
392.169562,114,78.275633
87.643104,25,78.297724
362.147101,88,78.384529
107.949506,26,78.407082
92.475585,26,78.429908
205.804285,53,78.475083
54.628717,15,78.48852
218.106502,59,78.536372
136.93231,45,78.573276
157.410451,37,78.604277
70.606124,18,78.618662
48.747847,12,78.628644
187.197387,55,78.672498
31.62697,9,78.680218
125.469308,41,78.71399
221.619898,55,78.761543
197.060872,47,78.804625
96.929836,25,78.827655
-537.21466,1000,79.782676
64.425273,17,79.795987
250.061366,63,79.843693
532.456345,139,79.958228
434.661737,126,80.067776
66.058732,16,80.08245
233.908562,48,80.807328
195.040143,50,80.857877
147.791554,39,80.90737
162.945009,47,80.97213
64.863844,19,80.986041
360.272064,102,81.064802
301.526458,71,81.120503
71.427581,19,81.137455
227.437943,64,81.191099
557.083036,130,81.294996
-680.351153,1000,82.394006
349.939322,77,82.450092
263.948105,77,82.533186
101.699121,32,82.560559
-668.318875,1000,84.17668
165.563168,37,84.205745
97.195281,22,84.22342
87.83767,21,84.240501
146.875981,43,84.275292
94.249223,23,84.294281
236.12965,66,84.349209
340.551871,83,84.415023
150.790217,38,84.444961
1279.99188,342,84.706241
261.63615,59,84.751227
266.144084,76,84.808213
89.450216,22,84.825821
179.800528,45,84.862995
75.683893,25,84.88363
-690.917207,1000,86.443791
491.576588,127,86.547692
112.396584,23,86.566506
147.759379,37,86.613063
128.506466,30,86.652516
220.983034,49,86.706698
351.376751,89,86.783743
180.983183,44,86.823222
271.98443,79,86.8969
-557.901754,1000,87.795496
266.18879,76,88.59474
241.287131,59,88.643956
175.837627,37,88.67576
114.186425,30,88.701815
59.80831,14,88.714364
69.999752,21,88.732888
159.525841,37,88.765243
107.485375,26,88.787878
252.775474,58,88.83865
45.379994,13,88.850696
323.308557,86,88.923092
415.819051,101,89.009138
181.615664,50,89.052273
421.547678,112,89.154791
586.137474,149,89.298242
163.987376,51,89.339565
82.935004,27,89.360888
282.518924,65,89.421044
-815.6332,1000,90.407619
134.796025,34,90.438971
377.6725,84,91.852108
40.847902,13,91.864902
223.178752,54,91.924104
-570.152989,1000,92.955866
553.708681,124,93.094352
280.901921,59,93.139006
166.925938,51,93.180623
117.559423,23,93.199795
79.937815,20,93.216884
213.607836,59,93.26686
240.224989,56,93.312834
246.577906,61,93.359718
123.021484,38,93.389024
91.789934,31,93.412996
45.509474,12,93.422448
578.669383,164,93.56054
68.042516,24,93.581968
397.076442,115,93.67873
89.870005,20,93.695483
206.035359,55,93.741111
44.625545,11,94.427901
377.246868,86,94.500529
222.204737,59,94.550081
826.713883,217,94.732502
582.598439,145,94.858171
375.565742,98,94.963217
98.165874,24,94.985414
90.419364,22,95.005675
134.482727,45,95.052478
115.056969,34,95.089503
-414.902781,1000,96.050591
173.443711,40,96.081179
131.053876,32,96.105529
-374.425911,1000,97.642117
230.745256,55,97.691267
308.535142,68,97.750474
421.322438,107,97.844037
742.925181,181,98.054707
104.739504,30,98.091805
106.139583,26,98.116858
73.035313,20,98.137954
730.294061,177,98.304086
324.712739,74,98.366879
196.299873,39,98.400663
270.704391,72,98.461786
177.96791,44,98.497933
58.986639,14,98.509683
572.483667,131,98.626769
96.868405,22,98.645544
336.240962,83,98.710251
-378.326307,1000,101.010431
590.37626,137,101.121208
328.503494,85,101.218957
396.935745,122,101.318022
71.986552,19,101.332272
115.602634,30,101.359309
159.364275,37,101.393383
-723.654434,1000,102.88706
171.794715,43,102.92775
104.508456,25,102.961711
121.381068,35,103.008492
52.814172,16,103.035196
130.902727,33,103.063486
286.767636,70,103.119836
129.256739,34,103.155495
583.703756,126,103.306229
277.952775,83,103.389116
279.423612,56,103.441799
105.121001,26,103.467414
97.570172,23,103.497834
95.562869,28,103.536518
178.594073,38,103.582025
221.78766,58,103.645176
119.863348,30,103.689423
245.942079,72,103.759561
286.652596,77,103.82941
346.042794,79,103.89737
143.868521,35,103.927421
114.389343,25,103.949258
78.39044,21,103.968113
186.562489,52,104.027731
236.265719,69,104.091718
215.597049,45,104.133544
115.711154,25,104.156824
142.626559,32,104.18694
484.067641,113,104.311561
156.282461,34,104.340951
167.542615,47,104.39889
-729.755829,1000,106.631803
98.858145,34,106.661414
184.728644,45,106.698488
231.525393,64,106.75353
301.334167,73,106.829145
327.60507,71,106.891762
705.10487,181,107.061823
128.114015,35,107.106794
127.015264,45,107.145493
261.629529,59,107.195273
597.66218,152,107.370131
162.787259,36,107.414011
-506.615287,1000,109.662158
78.922748,20,109.682943
347.592351,86,109.761575
755.636439,171,109.918979
507.227682,111,110.00745
144.677026,32,110.032856
104.282507,25,110.052918
152.577028,35,110.080175
223.011809,45,110.114633
371.935412,105,110.193392
-658.326435,1000,111.205831
207.66218,53,111.931871
521.44536,127,112.036673
277.208134,75,112.100637
-474.191644,1000,113.048819
96.30592,31,113.074204
92.975178,22,113.091614
396.32118,95,113.174707
-634.790963,1000,114.716767
418.380292,104,114.842637
121.167702,38,114.886496
165.634015,45,114.933523
169.300176,40,114.969495
164.137931,40,115.011312
195.232041,48,115.052214
511.874574,130,115.164135
325.32826,71,115.227294
113.985877,34,115.256053
373.320461,107,115.342667
62.209424,17,115.356925
166.652175,29,115.381687
42.486822,13,115.393566
202.086254,47,115.435016
208.895325,51,115.480561
244.573942,59,115.533048
154.843536,45,115.572019
179.96665,40,115.606419
152.384528,35,115.635162
365.703369,95,115.709007
115.27801,28,115.731121
44.531897,13,115.741785
124.910943,35,115.770644
186.233984,45,115.809312
213.036257,49,115.851118
141.219026,34,115.884996
107.35656,23,115.920231
139.464575,40,115.958712
277.322825,82,116.029826
258.439292,74,116.094873
206.162716,60,116.146422
149.21252,41,116.181841
259.715887,64,116.235275
58.081467,12,116.24572
106.372751,25,116.266674
83.076913,25,116.956252
64.627021,18,116.974003
94.566807,23,116.994136
135.730221,30,117.020324
459.509533,111,117.138752
391.094157,96,117.253489
49.340154,14,117.263038
81.724059,26,117.281389
1022.8337,248,117.493004
64.738582,14,117.505926
1394.547799,370,117.863243
99.927581,21,117.87951
214.462655,49,117.918449
58.677911,15,117.930142
316.713714,80,118.017928
494.059435,124,118.130538
88.776677,21,118.149222
258.277398,59,118.201704
520.095465,122,118.315052
87.095996,17,118.330006
539.155197,116,118.425036
484.954019,103,118.537407
85.926539,20,118.554914
99.615587,26,118.577868
741.532167,195,118.748621
445.553941,108,118.871404
582.121973,150,119.745159
489.102453,111,119.884669
489.990547,124,120.011499
176.453586,51,120.05517
84.784286,25,120.083876
60.812689,13,120.095859
106.127425,28,120.119056
161.851664,47,120.156526
461.735515,117,120.248796
160.874475,46,120.287061
-756.841603,1000,121.29851
-259.329869,1000,122.809301
-343.974382,1000,123.801769
170.543424,43,123.840884
679.514425,160,123.975538
63.020637,16,123.987887
486.812542,124,124.081824
42.082548,12,124.091461
146.45434,35,124.119981
145.555234,34,124.881208
94.308471,27,124.904458
229.562916,60,124.955984
294.170565,84,125.028992
115.399123,28,125.053348
-720.849139,1000,126.07198
191.325016,51,126.125437
263.672723,60,126.206891
248.369443,55,126.255492
127.225838,28,126.277865
304.121748,80,126.34076
84.620017,29,126.363801
252.810135,64,126.417863
115.718509,26,126.440464
-805.874903,1000,128.594192
58.802449,18,128.618789
33.703405,11,128.631702
120.806768,35,128.672648
85.827313,20,128.690087
150.097705,27,128.714623
175.409151,47,128.764639
189.410572,55,128.824391
283.428251,81,128.923215
48.449484,12,128.935356
228.292786,52,128.989713
-529.343191,1000,130.044668
390.107457,101,130.12244
511.191295,119,130.944379
413.572352,98,131.022109
411.718534,112,131.11027
68.414188,19,131.125067
-723.238868,1000,131.907407
251.004571,61,131.959861
532.132517,127,132.063653
384.695437,109,132.145272
192.394958,47,132.181489
552.435616,140,132.284733
217.116161,60,132.331084
115.171155,35,132.35669
140.594716,41,132.385851
-478.784494,1000,133.965969
316.217177,88,134.041948
121.402398,26,134.065243
200.377141,44,134.117934
168.882042,36,134.153788
127.636695,34,134.188661
183.124498,43,134.242498
-665.841377,1000,135.849794
167.058426,50,135.891444
42.349219,11,135.900653
-751.906087,1000,136.869276
186.871703,42,136.908323
261.510783,66,136.967925
92.868515,26,137.001232
301.511064,73,137.07409
178.319464,36,137.114556
85.330773,21,137.133387
-664.474812,1000,139.265623
161.451397,43,139.300756
415.930457,106,139.384518
138.479064,33,139.410368
798.050909,206,139.577388
78.114504,20,139.593793
260.149345,60,139.645983
101.654895,25,139.667686
98.210771,25,139.690264
162.215107,36,139.72161
139.275971,37,139.75801
68.586286,16,139.777983
341.446049,83,139.860205
189.245107,41,139.896817
372.884556,112,140.000703
149.906622,31,140.026256
248.615731,57,140.074464
304.956731,75,140.139397
224.362914,59,140.197457
114.669376,25,140.220603
83.894285,22,140.23957
289.682405,67,140.299094
267.759368,62,140.35315
77.759151,19,140.369694
733.051997,182,140.518999
80.267556,25,140.540978
169.383569,54,140.58808
390.171127,108,140.698037
101.008705,28,142.006876
91.018173,24,142.030525
168.100726,44,142.077618
1269.150384,324,142.339569
500.316088,127,142.443177
151.511607,44,142.482597
-480.737729,1000,143.33648
688.953522,164,143.514558
161.772101,50,143.558726
-621.438243,1000,145.729194
410.364209,108,145.852066
428.794279,102,145.93647
599.91923,156,146.054255
355.308284,79,146.118074
185.750116,38,146.149727
137.507811,38,146.18197
212.108071,49,146.223458
163.444565,41,146.257733
59.515282,14,146.269231
210.048827,49,146.309585
1288.744572,310,146.616039
72.418772,19,146.637078
78.098449,21,146.660733
204.171076,49,146.714463
131.497603,35,146.74604
566.755082,129,146.898773
160.530221,38,146.931313
-632.683949,1000,148.656205
156.867814,38,148.702489
177.082638,45,148.750548
310.191982,89,148.841354
162.521961,41,148.894881
224.746809,53,148.958297
107.459261,27,148.982463
-521.886409,1000,151.1676
468.565593,133,151.292636
232.939261,56,151.375205
125.725266,34,151.404281
53.012148,20,151.422746
84.911115,17,151.440987
391.561896,112,151.574393
104.431907,22,151.595704
71.592067,17,151.613133
457.586607,107,151.722963
343.194814,91,151.83035
-617.06193,1000,152.705183
76.587853,25,152.726355
174.112782,38,152.75895
97.627565,23,152.787428
219.232974,67,152.86617
87.145912,21,152.888964
197.562514,44,152.924387
537.471247,141,154.36088
527.135805,120,154.474201
177.409432,38,154.503369
147.331204,35,154.532526
128.283215,36,154.563059
121.864529,26,154.585068
586.026558,161,154.731499
541.477218,136,154.86094
43.054642,11,154.870557
417.119941,106,154.988174
261.48107,59,155.038989
419.692405,117,155.135339
240.01896,54,155.179916
328.29077,71,155.257707
487.807114,122,155.365043
130.86898,36,155.394987
62.531208,17,155.409981
